Date,Open,High,Low,Close,Adj Close,Volume
2014-09-26,2830,3000,2800,2960,2960,293760
2014-09-29,2960,3100,2960,2960,2960,203540
2014-09-30,2960,3060,2960,2960,2960,256030
2014-10-01,3000,3100,3000,3060,3060,385550
2014-10-02,3060,3270,3060,3270,3270,363000
2014-10-03,3410,3480,3340,3410,3410,446170
2014-10-06,3410,3450,3340,3410,3410,181240
2014-10-07,3410,3450,3210,3270,3270,208400
2014-10-08,3310,3340,3170,3340,3340,172060
2014-10-09,3340,3550,3340,3410,3410,628160
2014-10-10,3510,3510,3210,3310,3310,269520
2014-10-13,3310,3410,3170,3310,3310,182340
2014-10-14,3270,3380,3170,3170,3170,300980
2014-10-15,3140,3240,3060,3240,3240,121030
2014-10-16,3310,3310,3100,3100,3100,294140
2014-10-17,3060,3270,3060,3270,3270,179930
2014-10-20,3270,3310,3210,3210,3210,71860
2014-10-21,3310,3310,3170,3170,3170,71820
2014-10-22,3100,3270,3100,3170,3170,90530
2014-10-23,3170,3270,3140,3170,3170,77960
2014-10-24,3240,3270,3060,3170,3170,87850
2014-10-27,3170,3210,3060,3060,3060,81700
2014-10-28,3060,3140,3000,3100,3100,59390
2014-10-29,3170,3170,3060,3100,3100,8520
2014-10-30,3100,3140,3040,3060,3060,51290
2014-10-31,3040,3100,3040,3100,3100,39310
2014-11-03,3170,3270,3170,3210,3210,89350
2014-11-04,3210,3210,3060,3170,3170,33850
2014-11-05,3210,3210,3060,3210,3210,41720
2014-11-06,3060,3210,3060,3210,3210,12640
2014-11-07,3210,3310,3140,3310,3310,83170
2014-11-10,3340,3340,3310,3340,3340,89080
2014-11-11,3340,3410,3340,3340,3340,120760
2014-11-12,3410,3550,3380,3510,3510,204930
2014-11-13,3550,3680,3550,3610,3610,351590
2014-11-14,3610,3610,3450,3550,3550,59410
2014-11-17,3590,3590,3410,3410,3410,133350
2014-11-18,3410,3450,3270,3270,3270,112380
2014-11-19,3270,3380,3170,3240,3240,127980
2014-11-20,3240,3340,3240,3310,3310,127450
2014-11-21,3310,3410,3240,3270,3270,142280
2014-11-24,3170,3310,3140,3140,3140,134960
2014-11-25,3140,3210,3140,3170,3170,65260
2014-11-26,3240,3270,3140,3210,3210,105240
2014-11-27,3310,3310,3270,3270,3270,7000
2014-11-28,3210,3240,3170,3170,3170,47390
2014-12-01,3210,3240,3140,3140,3140,46750
2014-12-02,3140,3210,3060,3140,3140,60090
2014-12-03,3140,3170,3140,3140,3140,78180
2014-12-04,3210,3270,3170,3210,3210,53910
2014-12-05,3210,3210,3170,3210,3210,2890
2014-12-08,3210,3240,3140,3210,3210,5400
2014-12-09,3140,3170,3000,3000,3000,67030
2014-12-10,2900,3100,2900,3060,3060,31750
2014-12-11,3060,3140,3060,3140,3140,35100
2014-12-12,3060,3140,3060,3100,3100,12390
2014-12-15,3100,3170,3100,3140,3140,27370
2014-12-16,3060,3140,3000,3140,3140,71090
2014-12-17,3060,3060,2960,3060,3060,55620
2014-12-18,3060,3060,3060,3060,3060,210
2014-12-19,3170,3170,3170,3170,3170,2400
2014-12-22,3140,3140,3060,3060,3060,26910
2014-12-23,3060,3060,3040,3060,3060,13310
2014-12-24,3040,3040,2940,3040,3040,1200
2014-12-25,3040,3060,3040,3040,3040,23200
2014-12-26,2900,3040,2900,3040,3040,7520
2014-12-29,2960,3040,2900,3040,3040,6380
2014-12-30,2940,3000,2830,3000,3000,56720
2014-12-31,2940,3060,2940,3040,3040,7820
2015-01-05,3060,3060,2960,2960,2960,2830
2015-01-06,2960,2960,2940,2960,2960,1630
2015-01-07,2900,2940,2830,2860,2860,2970
2015-01-08,2900,2900,2830,2900,2900,10850
2015-01-09,2830,2940,2800,2940,2940,22140
2015-01-12,2900,2940,2900,2900,2900,16430
2015-01-13,2900,2940,2900,2940,2940,16320
2015-01-14,2940,3100,2900,3100,3100,48040
2015-01-15,3040,3100,3040,3100,3100,41650
2015-01-16,3100,3170,3100,3170,3170,26610
2015-01-19,3170,3210,3140,3140,3140,51720
2015-01-20,3140,3170,3100,3140,3140,15340
2015-01-21,3210,3210,3060,3140,3140,9030
2015-01-22,3170,3210,3100,3210,3210,23800
2015-01-23,3240,3270,3210,3240,3240,62420
2015-01-26,3210,3240,3210,3240,3240,28520
2015-01-27,3240,3240,3140,3210,3210,1430
2015-01-28,3170,3170,3140,3140,3140,22050
2015-01-29,3170,3210,3140,3210,3210,40
2015-01-30,3240,3240,3100,3210,3210,6470
2015-02-02,3100,3140,3060,3060,3060,26010
2015-02-03,3040,3040,3040,3040,3040,19030
2015-02-04,2830,3100,2830,3100,3100,5130
2015-02-05,3100,3100,3100,3100,3100,17500
2015-02-06,3000,3100,2900,3100,3100,10070
2015-02-09,3060,3060,3060,3060,3060,750
2015-02-10,3100,3210,3100,3210,3210,59500
2015-02-11,3170,3210,3100,3210,3210,21660
2015-02-12,3140,3240,3140,3240,3240,12150
2015-02-13,3140,3170,3060,3170,3170,17210
2015-02-24,3210,3210,3210,3210,3210,1020
2015-02-25,3140,3170,3040,3170,3170,29670
2015-02-26,3060,3170,3060,3170,3170,1070
2015-02-27,3170,3170,3100,3170,3170,5400
2015-03-02,3170,3170,3170,3170,3170,330
2015-03-03,3140,3170,3140,3170,3170,22910
2015-03-04,3140,3170,3140,3170,3170,36930
2015-03-05,3170,3170,3060,3100,3100,67670
2015-03-06,3170,3210,3100,3210,3210,54900
2015-03-09,3240,3240,3100,3170,3170,13370
2015-03-10,3170,3210,3170,3210,3210,106790
2015-03-11,3210,3410,3210,3410,3410,545700
2015-03-12,3590,3650,3590,3650,3650,151480
2015-03-13,3710,3750,3510,3590,3590,92630
2015-03-16,3590,3590,3410,3450,3450,184560
2015-03-17,3450,3650,3410,3610,3610,220730
2015-03-18,3680,3680,3590,3610,3610,139240
2015-03-19,3650,3820,3650,3710,3710,181920
2015-03-20,3710,3950,3710,3880,3880,367200
2015-03-23,3950,3950,3780,3880,3880,139940
2015-03-24,3860,3860,3750,3780,3780,194490
2015-03-25,3780,3860,3710,3780,3780,72090
2015-03-26,3710,4030,3680,3920,3920,136480
2015-03-27,3990,3990,3780,3820,3820,43070
2015-03-30,3860,3880,3820,3860,3860,162080
2015-03-31,3860,3880,3860,3860,3860,69920
2015-04-01,3750,3860,3750,3750,3750,89380
2015-04-02,3780,3780,3680,3780,3780,72880
2015-04-03,3710,3860,3710,3780,3780,79480
2015-04-06,3710,3780,3710,3750,3750,29450
2015-04-07,3780,3950,3780,3880,3880,210850
2015-04-08,3950,3990,3880,3950,3950,49690
2015-04-09,3990,4030,3920,4030,4030,143230
2015-04-10,4059,4090,3990,4090,4090,161500
2015-04-13,4090,4300,4090,4200,4200,502000
2015-04-14,4200,4230,4090,4130,4130,188780
2015-04-15,4130,4200,4059,4130,4130,168830
2015-04-16,4130,4130,4059,4059,4059,135100
2015-04-17,4059,4230,4059,4160,4160,124790
2015-04-20,4130,4160,4090,4090,4090,91050
2015-04-21,4090,4130,3920,3950,3950,283860
2015-04-22,3990,3990,3920,3990,3990,107020
2015-04-23,3950,4030,3950,3990,3990,57460
2015-04-24,3990,4030,3950,3990,3990,73000
2015-04-27,3990,4030,3990,3990,3990,64880
2015-05-04,3950,3990,3880,3880,3880,104180
2015-05-05,3880,4059,3860,4059,4059,54160
2015-05-06,4090,4090,3950,3990,3990,26250
2015-05-07,4030,4030,3990,3990,3990,78710
2015-05-08,4030,4090,3990,4090,4090,42180
2015-05-11,4360,4360,4260,4260,4260,201170
2015-05-12,4260,4260,4090,4160,4160,68920
2015-05-13,4200,4230,4090,4230,4230,55110
2015-05-14,4200,4200,4130,4200,4200,86860
2015-05-15,4200,4200,4090,4160,4160,43930
2015-05-18,4160,4230,4059,4160,4160,233630
2015-05-19,4160,4430,4160,4430,4430,568860
2015-05-20,4430,4710,4400,4680,4680,694260
2015-05-21,4680,4770,4680,4740,4740,335800
2015-05-22,4740,4950,4640,4850,4850,388320
2015-05-25,4950,4970,4770,4880,4880,208230
2015-05-26,4770,4850,4680,4770,4770,351060
2015-05-27,4770,5080,4770,5050,5050,764490
2015-05-28,5050,5220,4970,5140,5140,459330
2015-05-29,5140,5140,4950,4950,4950,227260
2015-06-01,4880,4950,4740,4740,4740,286210
2015-06-02,4740,5050,4740,4910,4910,470810
2015-06-03,4950,5050,4850,4880,4880,318260
2015-06-04,4910,4970,4880,4910,4910,154100
2015-06-05,4910,4970,4880,4950,4950,205080
2015-06-08,4910,4910,4770,4880,4880,246530
2015-06-09,4910,4910,4810,4880,4880,306140
2015-06-10,4880,4880,4810,4850,4850,135060
2015-06-11,4850,5140,4810,5140,5140,536320
2015-06-12,5220,5420,5220,5420,5420,310250
2015-06-15,5180,5390,5180,5290,5290,67040
2015-06-16,5320,5320,5140,5140,5140,169450
2015-06-17,5050,5220,5050,5140,5140,157540
2015-06-18,5140,5290,5140,5180,5180,111280
2015-06-19,5180,5320,5180,5320,5320,119700
2015-06-22,5320,5390,5250,5390,5390,150860
2015-06-23,5320,5460,5320,5390,5390,58630
2015-06-24,5390,5390,5350,5390,5390,58730
2015-06-25,5350,5500,5350,5420,5420,234040
2015-06-26,5420,5500,5350,5460,5460,125060
2015-06-29,5460,5460,5320,5390,5390,44530
2015-06-30,5320,5390,5220,5320,5320,134290
2015-07-01,5320,5320,4970,5120,5120,148920
2015-07-02,5120,5180,5120,5180,5180,43560
2015-07-03,5220,5250,5080,5080,5080,202080
2015-07-06,5140,5140,5050,5050,5050,39630
2015-07-07,5050,5250,5050,5120,5120,158270
2015-07-08,5120,5120,5050,5050,5050,128630
2015-07-09,5010,5120,4970,5050,5050,56590
2015-07-10,5050,5120,4970,5050,5050,105740
2015-07-13,4950,5050,4910,4910,4910,65520
2015-07-14,4880,5050,4880,5050,5050,42030
2015-07-15,4950,4950,4770,4770,4770,189750
2015-07-16,4770,4770,4500,4640,4640,187450
2015-07-17,4640,4950,4640,4910,4910,103610
2015-07-20,4970,4970,4770,4910,4910,61810
2015-07-21,4850,4910,4770,4850,4850,38700
2015-07-22,4640,4880,4640,4740,4740,58400
2015-07-23,4680,4880,4680,4740,4740,25620
2015-07-24,4770,4850,4740,4770,4770,63620
2015-07-27,4910,4910,4710,4710,4710,123600
2015-07-28,4680,4810,4680,4680,4680,46750
2015-07-29,4880,4880,4680,4770,4770,6750
2015-07-30,4810,4810,4600,4770,4770,45770
2015-07-31,4640,4740,4600,4710,4710,22910
2015-08-03,4600,4810,4570,4770,4770,51390
2015-08-04,4680,4770,4680,4680,4680,12660
2015-08-05,4770,4970,4740,4970,4970,150540
2015-08-06,4970,5050,4910,5050,5050,59970
2015-08-07,5120,5120,5050,5080,5080,16110
2015-08-10,4970,4970,4880,4880,4880,108250
2015-08-11,4810,4970,4810,4950,4950,17610
2015-08-12,4880,4950,4810,4950,4950,23510
2015-08-13,4810,4950,4740,4770,4770,42240
2015-08-14,4810,4810,4810,4810,4810,1230
2015-08-17,4640,4880,4640,4880,4880,8010
2015-08-18,4640,4770,4640,4770,4770,25290
2015-08-19,4640,4770,4640,4770,4770,44030
2015-08-20,4640,4740,4530,4710,4710,26950
2015-08-21,4710,4710,4640,4680,4680,20610
2015-08-24,4680,4680,4360,4600,4600,39680
2015-08-25,4570,4570,4320,4430,4430,39400
2015-08-26,4430,4740,4430,4680,4680,19600
2015-08-27,4880,4880,4530,4640,4640,11440
2015-08-28,4640,4850,4640,4640,4640,109460
2015-08-31,4640,4640,4640,4640,4640,0
2015-09-01,4680,4710,4640,4710,4710,246020
2015-09-03,4680,4850,4680,4770,4770,380020
2015-09-04,4740,4850,4740,4810,4810,13110
2015-09-07,4640,4740,4640,4740,4740,1100
2015-09-08,4740,4740,4600,4740,4740,9370
2015-09-09,4640,4740,4570,4570,4570,51480
2015-09-10,4570,4600,4530,4530,4530,44240
2015-09-11,4530,4710,4500,4710,4710,11400
2015-09-14,4680,4680,4570,4640,4640,420
2015-09-15,4600,4640,4400,4430,4430,29690
2015-09-16,4430,4570,4430,4570,4570,11100
2015-09-17,4570,4570,4500,4500,4500,7110
2015-09-18,4600,4710,4430,4710,4710,34360
2015-09-21,4470,4680,4470,4600,4600,18570
2015-09-22,4530,4680,4530,4640,4640,121020
2015-09-23,4530,4710,4530,4640,4640,80890
2015-09-24,4640,4850,4640,4850,4850,147910
2015-09-25,4810,4910,4740,4770,4770,68100
2015-09-28,4850,4850,4710,4710,4710,16480
2015-09-29,4680,4770,4680,4770,4770,6510
2015-09-30,4740,4850,4600,4850,4850,32940
2015-10-01,4850,4850,4770,4770,4770,9990
2015-10-02,4640,4810,4640,4740,4740,77120
2015-10-05,4640,4770,4640,4710,4710,15980
2015-10-06,4710,4810,4710,4810,4810,59660
2015-10-07,4880,4880,4710,4710,4710,40630
2015-10-08,4740,4740,4600,4640,4640,38440
2015-10-09,4740,4770,4600,4640,4640,50320
2015-10-12,4640,4770,4640,4740,4740,21550
2015-10-13,4640,4680,4640,4640,4640,16180
2015-10-14,4570,4640,4570,4640,4640,4900
2015-10-15,4640,4680,4600,4680,4680,14280
2015-10-16,4710,4970,4710,4970,4970,217330
2015-10-19,5010,5220,4970,5120,5120,59610
2015-10-20,5120,5120,4950,4950,4950,35830
2015-10-21,4950,5010,4910,5010,5010,69700
2015-10-22,4950,5290,4950,5220,5220,140280
2015-10-23,5290,5290,5120,5180,5180,97400
2015-10-26,5180,5290,5120,5220,5220,146840
2015-10-27,5250,5250,5140,5140,5140,39640
2015-10-28,5120,5250,5120,5250,5250,162330
2015-10-29,5180,5250,5180,5180,5180,102380
2015-10-30,5250,5250,5140,5220,5220,44980
2015-11-02,5220,5220,5050,5050,5050,52360
2015-11-03,4970,5120,4970,5120,5120,11310
2015-11-04,5080,5080,4910,4970,4970,44170
2015-11-05,4950,5010,4880,4970,4970,60330
2015-11-06,4970,4970,4880,4880,4880,8230
2015-11-09,4880,4950,4850,4880,4880,27680
2015-11-10,4970,5050,4950,4950,4950,44280
2015-11-11,4970,4970,4910,4950,4950,5850
2015-11-12,4910,4970,4880,4950,4950,24100
2015-11-13,4910,4910,4770,4850,4850,16050
2015-11-16,4910,5120,4910,5050,5050,48140
2015-11-17,4950,5120,4950,5010,5010,7970
2015-11-18,5010,5010,4910,4910,4910,25910
2015-11-19,4950,4950,4850,4910,4910,2900
2015-11-20,4880,4950,4880,4950,4950,34900
2015-11-23,4910,4970,4910,4910,4910,35370
2015-11-24,4770,5050,4770,4970,4970,6110
2015-11-25,4970,5010,4910,5010,5010,13730
2015-11-26,5010,5010,4850,4850,4850,6040
2015-11-27,4850,4880,4850,4850,4850,3010
2015-11-30,4880,4880,4770,4850,4850,3280
2015-12-01,4850,4850,4770,4850,4850,6160
2015-12-02,4770,4950,4770,4950,4950,3020
2015-12-03,4880,4880,4850,4850,4850,14490
2015-12-04,4770,4850,4770,4770,4770,33060
2015-12-07,4710,4770,4710,4710,4710,13440
2015-12-08,4770,4770,4640,4740,4740,17990
2015-12-09,4710,4710,4680,4710,4710,6050
2015-12-10,4600,4710,4600,4710,4710,24720
2015-12-11,4640,4680,4600,4600,4600,3390
2015-12-14,4640,4680,4640,4680,4680,800
2015-12-15,4640,4680,4600,4680,4680,3320
2015-12-16,4600,4680,4570,4680,4680,27030
2015-12-17,4770,4970,4770,4970,4970,126590
2015-12-18,5050,5120,4950,4950,4950,58980
2015-12-21,4910,4910,4850,4850,4850,7080
2015-12-22,4850,4850,4770,4850,4850,19390
2015-12-23,4850,4880,4770,4810,4810,51240
2015-12-24,4810,4850,4770,4850,4850,28120
2015-12-25,4770,4880,4770,4810,4810,8760
2015-12-28,4810,4810,4770,4810,4810,39520
2015-12-29,4810,4810,4740,4740,4740,41530
2015-12-30,4770,4950,4770,4950,4950,72090
2015-12-31,4850,5080,4810,5080,5080,83490
2016-01-04,4850,4970,4770,4970,4970,12990
2016-01-05,4880,4880,4770,4770,4770,17240
2016-01-06,4770,4880,4740,4880,4880,27330
2016-01-07,4770,4770,4710,4710,4710,14100
2016-01-08,4710,4710,4570,4710,4710,7370
2016-01-11,4640,4740,4640,4740,4740,5590
2016-01-12,4710,4770,4710,4770,4770,12940
2016-01-13,4880,4880,4710,4710,4710,16580
2016-01-14,4710,4710,4640,4710,4710,3560
2016-01-15,4710,4710,4680,4680,4680,13210
2016-01-18,4530,4600,4360,4600,4600,21010
2016-01-19,4570,4600,4570,4600,4600,1160
2016-01-20,4530,4570,4470,4470,4470,39490
2016-01-21,4680,4680,4400,4500,4500,17970
2016-01-22,4430,4500,4430,4470,4470,10620
2016-01-25,4600,4640,4570,4640,4640,79460
2016-01-26,4640,4740,4600,4740,4740,38650
2016-01-27,4740,4810,4740,4740,4740,90190
2016-01-28,4770,4880,4710,4770,4770,47130
2016-01-29,4710,4850,4710,4850,4850,5210
2016-02-01,4850,4850,4850,4850,4850,0
2016-02-02,4850,4850,4770,4770,4770,77490
2016-02-03,4770,4810,4770,4810,4810,27870
2016-02-04,4810,4810,4810,4810,4810,44620
2016-02-05,4770,4950,4770,4950,4950,192650
2016-02-15,4910,4910,4850,4880,4880,2170
2016-02-16,4880,5220,4880,5220,5220,324010
2016-02-17,5320,5390,5290,5350,5350,130860
2016-02-18,5530,5530,5290,5290,5290,64080
2016-02-19,5290,5420,5220,5220,5220,230360
2016-02-22,5220,5320,5220,5250,5250,35110
2016-02-23,5250,5320,5220,5250,5250,95120
